,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_features_to_select,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.0033993244171142576,0.0003706077784424204,0.00030071735382080077,0.00024576071139222137,1,{'n_features_to_select': 1},0.763099514029075,0.6535530404559884,0.853398204860921,0.7185007924692087,0.791315589036637,0.6243264569224378,0.6727709518915325,0.807501011036428,0.8541385433269871,0.6816801394071998,0.7420284243436415,0.07924991543144416,13,0.7641130343059186,0.7700234302822909,0.7549161655318962,0.7693489786455185,0.759987909097604,0.7757083350783318,0.7687418650736726,0.7578672160221513,0.7514187110438826,0.7710886855034816,0.7643214330584749,0.007537940830089488
1,0.003060650825500488,0.000346355422772436,0.0004453897476196289,0.00014960869184646203,2,{'n_features_to_select': 2},0.7608448975874202,0.7006354510429681,0.8755768136508073,0.665924177675066,0.8316114860726246,0.671417472460908,0.6396671227447617,0.7878388371587792,0.8532121734944708,0.7624766263548303,0.7549205058242636,0.0789935601204702,12,0.7854871710097112,0.7868958453484549,0.7750132037787922,0.7991619274736431,0.7773015551078566,0.7929005968765014,0.7918215993011921,0.7831861669421195,0.7741009258570504,0.7849217511627704,0.7850790742858091,0.007709545761509783
2,0.002550625801086426,0.00015353402902638311,0.000404667854309082,0.00020259660108848992,3,{'n_features_to_select': 3},0.7965437914620339,0.741184326737106,0.8233410054783329,0.6531545493513167,0.8173762513833455,0.6807472551542497,0.6679969217655641,0.7921522952659008,0.8756449726136747,0.7356173294605675,0.7583758698672092,0.07080309044421758,11,0.7992634736809159,0.7926959087444254,0.7953018414096372,0.8087680253888654,0.796310249087391,0.8088779968657198,0.7986443861827691,0.79049165907942,0.7884540458822806,0.8038854323821572,0.7982693018703582,0.006752592025304538
3,0.002253890037536621,0.00025064933428148794,0.0003007650375366211,0.00024558831705714565,4,{'n_features_to_select': 4},0.8159605344755319,0.7793919525139633,0.8335343149675298,0.6685676480699237,0.8339042816945504,0.7010684083006002,0.718987322916508,0.8364129546711104,0.8855039754782639,0.7553802142331685,0.782871160732115,0.06653739153549233,1,0.8036340501961068,0.8043710492804577,0.8002009583770977,0.8223802191690425,0.799913741825492,0.8122984662709296,0.8087006941333821,0.7993181946923573,0.7932253378801383,0.8076321766310136,0.8051674888456019,0.007731561253749924
4,0.001907944679260254,0.0003801448472099467,0.0004949569702148438,0.00022693368701310278,5,{'n_features_to_select': 5},0.8127449937084926,0.7671953797351287,0.8290868307612955,0.6753130961485565,0.8370353669822101,0.7104678819374601,0.7189168575977516,0.8305935354903404,0.8742454057390597,0.746298502043482,0.7801897850143777,0.06245101251173326,2,0.8049374100711973,0.8062701437016521,0.8016844073548549,0.8238843438764181,0.8020297444084885,0.8135383424112215,0.8099049738580899,0.8011794542282153,0.795527997237256,0.8107748151574385,0.8069731632304832,0.007574585294292362
5,0.001440739631652832,0.00014137266626952397,0.00039589405059814453,0.00019821103905916216,6,{'n_features_to_select': 6},0.8124400430875522,0.7507474195675757,0.828402879211418,0.6802900921117179,0.8324423279581175,0.7175645228912375,0.7270793574092367,0.8259986020484918,0.8735453628169605,0.7483359004044415,0.779684650750675,0.059590420645340834,3,0.807771442888959,0.8101955355169514,0.8046249031975373,0.8248428861515464,0.8026109666115675,0.813692034582365,0.8121514707075059,0.8046471094144465,0.7986335173967372,0.8123644610329048,0.8091534327500522,0.006952263481324961
6,0.0010479450225830077,0.0001526333770903649,0.0004524707794189453,0.00015210618785621973,7,{'n_features_to_select': 7},0.818471078440173,0.7548418964937976,0.8182158081585396,0.6827388028812391,0.8422476333506946,0.7207804156749087,0.7281882349620751,0.82534449853224,0.8693209477799153,0.7346144311459211,0.7794763747419504,0.05932182719189462,4,0.8080313937594598,0.8105793801957466,0.8060346315814961,0.8249276862996091,0.8034292498733266,0.8139886622448668,0.8127946691330078,0.805568876796977,0.7998232995263332,0.8141709176178418,0.8099348767028666,0.006709840869178184
7,0.0009561061859130859,0.00015264207652721022,0.00043931007385253904,0.0001484931777338709,8,{'n_features_to_select': 8},0.818471078440173,0.7548418964937976,0.8182158081585396,0.6827388028812391,0.8422476333506946,0.7207804156749087,0.7281882349620751,0.82534449853224,0.8693209477799153,0.7346144311459211,0.7794763747419504,0.05932182719189462,4,0.8080313937594598,0.8105793801957466,0.8060346315814961,0.8249276862996091,0.8034292498733266,0.8139886622448668,0.8127946691330078,0.805568876796977,0.7998232995263332,0.8141709176178418,0.8099348767028666,0.006709840869178184
8,0.001041245460510254,0.00042051246856978584,0.00041017532348632815,0.00020565108783117243,9,{'n_features_to_select': 9},0.818471078440173,0.7548418964937976,0.8182158081585396,0.6827388028812391,0.8422476333506946,0.7207804156749087,0.7281882349620751,0.82534449853224,0.8693209477799153,0.7346144311459211,0.7794763747419504,0.05932182719189462,4,0.8080313937594598,0.8105793801957466,0.8060346315814961,0.8249276862996091,0.8034292498733266,0.8139886622448668,0.8127946691330078,0.805568876796977,0.7998232995263332,0.8141709176178418,0.8099348767028666,0.006709840869178184
9,0.0012088298797607421,0.00039683252069413994,0.0003585338592529297,0.0002352109136495631,10,{'n_features_to_select': 10},0.818471078440173,0.7548418964937976,0.8182158081585396,0.6827388028812391,0.8422476333506946,0.7207804156749087,0.7281882349620751,0.82534449853224,0.8693209477799153,0.7346144311459211,0.7794763747419504,0.05932182719189462,4,0.8080313937594598,0.8105793801957466,0.8060346315814961,0.8249276862996091,0.8034292498733266,0.8139886622448668,0.8127946691330078,0.805568876796977,0.7998232995263332,0.8141709176178418,0.8099348767028666,0.006709840869178184
